name,version,md5,url
m4,1.4.20,6eb2ebed5b24e74b6e890919331d2132,http://ftp.gnu.org/gnu/m4/m4-@.tar.xz
make,4.4.1,c8469a3713cbbe04d955d4ae4be23eeb,https://ftp.gnu.org/gnu/make/make-@.tar.gz
man-db,2.13.1,b6335533cbeac3b24cd7be31fdee8c83,https://download.savannah.gnu.org/releases/man-db/man-db-@.tar.xz
man-pages,6.15,16f68d70139dd2bbcae4102be4705753,https://www.kernel.org/pub/linux/docs/man-pages/man-pages-@.tar.xz
meson,1.8.3,08221d2f515e759686f666ff6409a903,https://github.com/mesonbuild/meson/releases/download/@/meson-@.tar.gz
mpc,1.3.1,5c9bc658c9fd0f940e8e3e0f09530c62,https://ftp.gnu.org/gnu/mpc/mpc-@.tar.gz
mpfr,4.2.2,7c32c39b8b6e3ae85f25156228156061,https://ftp.gnu.org/gnu/mpfr/mpfr-@.tar.xz
ncurses,6.5-20250809,679987405412f970561cc85e1e6428a2,https://invisible-mirror.net/archives/ncurses/current/ncurses-@.tgz
ninja,1.13.1,c35f8f55f4cf60f1a916068d8f45a0f8,https://github.com/ninja-build/ninja/archive/v@/ninja-@.tar.gz
openssl,3.5.2,890fc59f86fc21b5e4d1c031a698dbde,https://github.com/openssl/openssl/releases/download/openssl-@/openssl-@.tar.gz
packaging,25.0,ab0ef21ddebe09d1803575120d3f99f8,https://files.pythonhosted.org/packages/source/p/packaging/packaging-@.tar.gz
patch,2.8,149327a021d41c8f88d034eab41c039f,https://ftp.gnu.org/gnu/patch/patch-@.tar.xz
perl,5.42.0,7a6950a9f12d01eb96a9d2ed2f4e0072,https://www.cpan.org/src/5.0/perl-@.tar.xz
pkgconf,2.5.1,3291128c917fdb8fccd8c9e7784b643b,https://distfiles.ariadne.space/pkgconf/pkgconf-@.tar.xz
procps,4.0.5,90803e64f51f192f3325d25c3335d057,https://sourceforge.net/projects/procps-ng/files/Production/procps-ng-@.tar.xz
psmisc,23.7,53eae841735189a896d614cba440eb10,https://sourceforge.net/projects/psmisc/files/psmisc/psmisc-@.tar.xz
python,3.13.7,256cdb3bbf45cdce7499e52ba6c36ea3,https://www.python.org/ftp/python/@/Python-@.tar.xz
python-docs,3.13.7,b84c0d81b2758398bb7f5b7411d3d908,https://www.python.org/ftp/python/doc/@/python-@-docs-html.tar.bz2
readline,8.3,25a73bfb2a3ad7146c5e9d4408d9f6cd,https://ftp.gnu.org/gnu/readline/readline-@.tar.gz
sed,4.9,6aac9b2dbafcd5b7a67a8a9bcb8036c3,https://ftp.gnu.org/gnu/sed/sed-@.tar.xz
setuptools,80.9.0,82e1d67883b713f9493659b50d13b436,https://pypi.org/packages/source/s/setuptools/setuptools-@.tar.gz
shadow,4.18.0,30ef46f54363db1d624587be68794ef2,https://github.com/shadow-maint/shadow/releases/download/@/shadow-@.tar.xz
sysklogd,2.7.2,af60786956a2dc84054fbf46652e515e,https://github.com/troglobit/sysklogd/releases/download/v@/sysklogd-@.tar.gz
systemd,257.8,25fe5d328e22641254761f1baa74cee0,https://github.com/systemd/systemd/archive/v@/systemd-@.tar.gz
systemd-man-pages,257.8,a44063e2ec0cf4adfd2ed5c9e9e095c5,https://anduin.linuxfromscratch.org/LFS/systemd-man-pages-@.tar.xz
sysvinit,3.14,bc6890b975d19dc9db42d0c7364dd092,https://github.com/slicer69/sysvinit/releases/download/@/sysvinit-@.tar.xz
tar,1.35,a2d8042658cfd8ea939e6d911eaf4152,https://ftp.gnu.org/gnu/tar/tar-@.tar.xz
tcl,8.6.16,eaef5d0a27239fb840f04af8ec608242,https://downloads.sourceforge.net/tcl/tcl@-src.tar.gz
tcl-docs,8.6.16,750c221bcb6f8737a6791c1fbe98b684,https://downloads.sourceforge.net/tcl/tcl@-html.tar.gz
texinfo,7.2,11939a7624572814912a18e76c8d8972,https://ftp.gnu.org/gnu/texinfo/texinfo-@.tar.xz
tzdata,2025b,ad65154c48c74a9b311fe84778c5434f,https://www.iana.org/time-zones/repository/releases/tzdata@.tar.gz
udev-lfs,20230818,acd4360d8a5c3ef320b9db88d275dae6,https://anduin.linuxfromscratch.org/LFS/udev-lfs-@.tar.xz
util-linux,2.41.1,7e5e68845e2f347cf96f5448165f1764,https://www.kernel.org/pub/linux/utils/util-linux/v2.41/util-linux-@.tar.xz
vim,9.1.1629,4f856c3233c1c4570bc17572e4f9e8e4,https://github.com/vim/vim/archive/v@/vim-@.tar.gz
wheel,0.46.1,65e09ee84af36821e3b1e9564aa91bd5,https://pypi.org/packages/source/w/wheel/wheel-@.tar.gz
xml-parser,2.47,89a8e82cfd2ad948b349c0a69c494463,https://cpan.metacpan.org/authors/id/T/TO/TODDR/XML-Parser-@.tar.gz
xz-utils,5.8.1,cf5e1feb023d22c6bdaa30e84ef3abe3,https://github.com/tukaani-project/xz/releases/download/v@/xz-@.tar.xz
zlib,1.3.1,9855b6d802d7fe5b7bd5b196a2271655,https://zlib.net/fossils/zlib-@.tar.gz
zstd,1.5.7,780fc1896922b1bc52a4e90980cdda48,https://github.com/facebook/zstd/releases/download/v@/zstd-@.tar.gz
bzip2-install-docs.patch,1.0.8,6a5ac7e89b791aae556de0f745916f7f,https://www.linuxfromscratch.org/patches/lfs/12.4/bzip2-1.0.8-install_docs-1.patch
coreutils-upstream-fix.patch,9.7,96382a5aa85d6651a74f94ffb61785d9,https://www.linuxfromscratch.org/patches/lfs/12.4/coreutils-9.7-upstream_fix-1.patch
coreutils-i18n.patch,9.7,33ebfad32b2dfb8417c3335c08671206,https://www.linuxfromscratch.org/patches/lfs/12.4/coreutils-9.7-i18n-1.patch
expect-gcc15.patch,5.45.4,0ca4d6bb8d572fbcdb13cb36cd34833e,https://www.linuxfromscratch.org/patches/lfs/12.4/expect-5.45.4-gcc15-1.patch
glibc-fhs.patch,2.42,9a5997c3452909b1769918c759eff8a2,https://www.linuxfromscratch.org/patches/lfs/12.4/glibc-2.42-fhs-1.patch
kbd-backspace.patch,2.8.0,f75cca16a38da6caa7d52151f7136895,https://www.linuxfromscratch.org/patches/lfs/12.4/kbd-2.8.0-backspace-1.patch
sysvinit-consolidated.patch,3.14,3af8fd8e13cad481eeeaa48be4247445,https://www.linuxfromscratch.org/patches/lfs/12.4/sysvinit-3.14-consolidated-1.patch
